2019-11-14 14:45:28,862 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6e06451e: startup date [Thu Nov 14 14:45:28 UTC 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-11-14 14:45:30,238 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/opt/activemq/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2019-11-14 14:45:30,542 | INFO  | PListStore:[/opt/activemq/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-11-14 14:45:30,800 | INFO  | Apache ActiveMQ 5.15.6 (localhost, ID:c9f662ddc10a-39023-1573742730564-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-11-14 14:45:30,832 | INFO  | Listening for connections at: tcp://c9f662ddc10a:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-14 14:45:30,836 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-11-14 14:45:30,844 | INFO  | Listening for connections at: amqp://c9f662ddc10a:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-14 14:45:30,848 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-11-14 14:45:30,856 | INFO  | Listening for connections at: stomp://c9f662ddc10a:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-14 14:45:30,860 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-11-14 14:45:30,867 | INFO  | Listening for connections at: mqtt://c9f662ddc10a:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-14 14:45:30,870 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
